t,X1,X2,X3,X4,X5,X6,X7,X8
1,2,1,1,0,3,4,0,9
2,8,6,0,7,4,1,5,6
3,3,4,3,7,1,4,7,2
4,4,7,0,2,7,7,4,6
5,0,6,4,6,2,4,10,8
6,4,5,5,4,5,9,5,0
7,2,9,5,4,0,6,4,1
8,6,6,3,5,6,7,6,10
9,6,7,5,4,0,3,2,4
10,5,6,3,4,3,5,3,7
11,5,5,3,5,2,8,0,8
12,9,1,5,0,5,4,7,4
13,4,7,8,3,9,6,6,1
14,3,4,3,7,0,3,7,5
15,5,6,3,0,4,0,1,0
16,1,0,1,0,3,2,3,6
17,0,2,3,2,1,6,4,2
18,0,2,2,1,1,4,1,0
19,4,3,1,6,2,2,2,1
20,10,4,1,2,2,2,2,5
21,10,6,1,4,4,0,7,1
22,4,1,7,4,1,5,9,6
23,6,0,1,0,6,0,4,1
24,6,2,4,6,1,1,4,1
25,5,5,4,8,1,5,4,4
26,1,0,3,5,0,6,3,7
27,0,8,7,6,3,2,10,4
28,4,6,6,4,5,0,2,3
29,9,1,2,4,2,6,2,11
30,5,5,0,9,4,4,2,7
31,1,6,8,0,1,1,10,4
32,0,6,2,9,0,2,2,1
33,2,5,1,2,8,1,6,3
34,4,1,1,5,3,5,2,7
35,1,2,0,2,7,5,4,4
36,4,4,5,2,1,11,2,5
37,0,1,0,6,2,1,1,7
38,2,5,6,3,1,0,2,4
39,1,1,6,3,2,2,0,2
40,3,1,4,4,2,6,6,7
41,1,2,3,5,3,2,4,4
42,5,5,1,6,6,5,4,0
43,2,7,5,1,2,0,8,1
44,7,1,1,2,6,1,9,3
45,3,5,5,5,3,1,3,4
46,3,1,2,7,2,1,6,7
47,2,3,4,2,1,3,4,4
48,7,6,2,2,4,1,2,5
49,0,6,4,1,2,6,6,5
50,1,3,2,0,3,4,6,11
51,5,3,2,3,2,1,5,5
52,6,2,3,0,6,8,4,3
53,7,8,5,0,7,5,1,0
54,5,1,1,4,4,4,7,1
55,6,3,5,9,3,5,7,0
56,4,1,4,5,3,9,1,4
57,3,2,6,5,1,6,1,1
58,8,5,8,2,6,2,3,3
59,2,3,5,3,7,2,7,5
60,6,5,5,4,3,4,7,5
61,1,2,5,5,3,5,4,4
62,5,7,8,5,5,3,6,2
63,5,1,0,7,7,7,7,4
64,4,6,3,2,1,7,5,7
65,6,7,2,2,0,5,5,8
66,3,5,0,3,3,6,4,2
67,2,2,4,1,1,1,0,2
68,1,4,2,2,3,7,5,1
69,9,4,4,6,8,3,0,5
70,5,2,0,5,4,1,2,2
71,2,3,1,6,2,5,1,4
72,3,8,1,9,1,1,0,5
73,0,2,4,2,4,3,5,4
74,7,2,3,10,0,0,5,3
75,5,7,0,5,6,2,5,1
76,7,5,1,3,1,7,4,1
77,2,1,0,6,2,3,4,0
78,10,1,4,3,5,5,1,1
79,4,4,4,3,6,9,2,1
80,5,3,7,3,5,6,3,7
81,4,5,6,7,4,9,1,5
82,4,0,4,5,4,7,2,6
83,9,2,9,6,8,5,3,1
84,3,4,10,1,8,0,4,7
85,0,1,5,6,6,0,2,4
86,9,6,2,2,7,3,0,1
87,1,4,14,7,7,6,2,2
88,0,5,7,2,11,3,1,5
89,1,1,4,9,7,3,4,4
90,5,3,7,0,6,0,8,1
91,6,3,2,4,1,5,10,1
92,7,4,7,3,5,5,3,2
93,5,0,6,2,1,3,2,0
94,2,5,3,6,4,1,1,5
95,10,1,2,10,1,4,5,4
96,8,7,5,4,0,6,1,8
97,4,2,3,1,6,3,2,3
98,6,4,8,4,0,4,0,2
99,3,3,5,1,12,4,4,1
100,3,2,3,6,2,4,2,1
