t,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
1,3,11,5,1,1,1,3,5,0,0,3,0,6,1,1
2,4,5,0,1,5,5,2,5,4,3,0,3,0,2,3
3,7,6,7,2,8,3,0,2,2,0,1,0,2,1,0
4,0,0,5,1,0,8,1,0,2,0,1,1,0,1,3
5,1,3,2,0,4,0,1,1,1,2,0,0,2,1,3
6,1,4,0,3,0,6,4,2,0,2,0,8,4,4,1
7,1,0,1,4,6,1,4,0,4,0,1,1,4,0,1
8,3,0,0,0,0,0,1,3,6,4,0,0,2,6,7
9,0,3,1,3,0,8,1,2,0,3,6,3,5,5,2
10,5,4,0,3,3,0,2,3,3,1,8,0,3,2,5
11,0,2,0,4,6,3,3,0,2,0,1,1,0,1,1
12,2,1,0,2,0,1,6,1,0,1,0,1,0,1,0
13,0,2,0,0,0,1,5,1,2,0,0,7,0,0,0
14,0,4,1,2,1,2,1,0,2,1,0,0,0,1,0
15,1,0,1,2,0,0,0,0,1,3,9,1,1,0,6
16,0,0,0,1,0,0,2,1,0,1,0,0,5,8,6
17,1,7,2,4,4,0,0,4,2,0,0,3,2,6,6
18,1,3,2,0,2,1,4,4,0,3,3,0,3,0,4
19,5,0,4,0,1,1,1,1,2,3,4,2,1,1,5
20,0,1,7,0,0,1,0,4,1,6,3,0,0,0,4
21,0,0,1,1,1,6,3,0,3,1,4,1,2,6,4
22,0,0,0,0,2,0,1,0,0,1,0,5,6,2,1
23,0,5,0,2,0,2,7,0,0,0,0,0,1,0,3
24,1,0,1,0,1,1,2,1,2,0,0,0,1,1,4
25,1,1,7,0,0,0,1,0,0,1,8,0,0,0,0
26,0,4,0,2,1,2,1,0,4,6,0,2,0,0,1
27,1,2,0,0,0,0,2,7,1,0,0,2,1,0,0
28,1,0,2,0,1,0,4,2,5,0,0,1,4,0,4
29,3,3,4,1,1,2,5,3,6,1,10,2,2,4,0
30,1,0,4,0,2,5,3,0,0,3,7,6,6,0,2
31,2,1,5,2,3,3,1,3,0,5,3,5,2,2,1
32,0,2,0,3,2,6,0,0,0,0,1,0,0,4,0
33,0,9,1,0,0,4,0,2,0,0,0,1,7,4,6
34,2,3,6,3,6,5,3,5,1,7,7,5,8,4,6
35,4,1,6,3,4,3,7,5,3,3,5,3,0,3,7
36,4,4,5,5,6,5,0,0,1,7,4,2,5,5,8
37,5,1,4,5,3,5,1,7,3,3,4,1,3,2,3
38,4,3,3,3,5,1,5,4,3,5,3,2,3,1,3
39,4,0,0,0,4,5,0,0,0,1,3,4,5,1,5
40,1,2,0,0,3,0,3,7,4,1,2,1,2,6,0
41,0,0,3,1,0,0,0,1,0,0,2,0,3,7,2
42,0,2,0,0,7,2,0,0,1,3,5,4,3,0,2
43,1,0,2,1,1,1,1,0,2,0,1,5,3,0,1
44,0,1,2,0,1,0,3,5,1,0,0,3,3,0,0
45,1,0,1,1,0,0,1,0,6,1,1,0,4,6,0
46,0,1,3,0,0,1,6,0,1,0,0,2,1,0,1
47,0,1,0,0,4,0,0,0,0,0,0,0,0,0,2
48,5,0,2,4,3,2,0,1,1,1,0,0,0,0,1
