t,X1,X2,X3,X4,X5
1,4,1,3,0,2
2,1,4,1,6,4
3,6,6,3,2,1
4,0,1,4,5,4
5,2,4,3,1,5
6,2,1,1,1,1
7,5,1,2,4,4
8,2,1,2,2,0
9,3,1,1,1,1
10,0,1,4,0,0
11,2,11,0,1,1
12,1,3,4,2,1
13,1,1,1,1,2
14,6,4,9,2,0
15,7,4,5,4,2
16,4,3,7,3,5
17,5,4,3,2,3
18,5,4,1,1,7
19,5,0,1,6,5
20,9,0,3,2,4
21,3,3,3,6,0
22,5,2,2,3,2
23,7,3,2,4,4
24,5,6,10,2,4
25,8,5,2,2,9
26,2,1,1,9,1
27,4,3,4,1,4
28,2,1,0,0,2
29,0,1,0,2,1
30,1,0,1,0,0
31,4,3,3,1,0
32,5,2,3,2,0
33,1,4,1,1,2
34,0,1,0,0,1
35,2,1,1,2,1
36,0,1,2,9,2
37,1,4,0,1,2
38,1,1,0,1,1
39,2,2,0,0,2
40,1,0,2,3,0
41,0,0,1,1,0
42,0,4,3,2,1
43,0,1,0,1,2
44,1,1,2,2,0
45,1,2,0,0,2
46,2,0,2,0,0
47,1,5,0,1,1
48,1,1,1,2,2
49,1,1,0,0,2
50,0,3,1,2,0
51,1,4,2,0,2
52,0,2,1,0,1
53,1,4,1,1,6
54,3,1,2,4,2
55,0,1,2,4,1
56,2,1,4,0,8
57,6,6,0,5,4
58,2,6,4,2,3
59,4,1,0,0,2
60,1,2,1,0,0
61,0,0,3,1,0
62,0,3,5,3,5
63,0,2,3,2,4
64,0,3,0,4,1
65,0,3,3,0,6
66,2,1,5,1,1
67,3,5,9,10,2
68,2,6,2,1,7
69,3,3,5,5,2
70,5,0,6,0,3
71,5,2,5,1,5
72,5,5,3,6,7
73,1,3,5,2,8
74,3,8,7,3,3
75,1,4,2,0,3
76,7,2,2,3,3
77,2,6,0,8,9
78,1,4,1,1,0
79,2,3,0,1,1
80,1,1,3,5,2
81,3,3,0,0,6
82,3,1,0,7,7
83,0,0,1,0,0
84,3,6,1,1,6
85,1,1,2,1,1
86,1,0,0,1,1
87,1,1,1,2,2
88,2,0,0,1,0
89,1,0,0,8,0
90,1,6,1,0,0
91,2,0,2,0,0
92,1,3,0,2,2
93,2,0,1,1,1
94,5,0,0,3,0
95,3,0,6,1,4
96,0,2,1,2,0
97,3,2,3,1,11
98,1,1,5,1,1
99,1,2,0,3,0
100,0,0,0,0,3
